Epoch,EMD,CD,Top1acc,Top5acc,Clsave
1,0.005367695687884333,0.00506088590117717,0.5542949622246396,0.8144246141518341,0.47086046511627905
2,0.00494617788177548,0.004882899279978992,0.6049432609188016,0.8306320656205692,0.5502267441860466
3,0.004616748708573104,0.004544163988244654,0.6628849108369849,0.8942463278673842,0.5999941860465116
4,0.004984101207663465,0.004494734176650944,0.6685575222297657,0.9019448721428165,0.6284941860465116
5,0.004478798777034337,0.00441178835392224,0.7017828033002308,0.91450565017313,0.6593953488372093
6,0.004221918623461717,0.004443370890004014,0.6851701580072531,0.9226093792161834,0.6470581395348838
7,0.0043939851139756765,0.00441086163857218,0.7216369362617427,0.9347649700396258,0.672703488372093
8,0.00428237629151254,0.004301377781431632,0.7074554091020573,0.9311182948864839,0.664982558139535
9,0.004213642131424312,0.004341069366688831,0.7123176493656307,0.9323338517735031,0.6830639534883721
10,0.00414497874009263,0.004340435211273907,0.7175850696511554,0.9367909030551076,0.678639534883721
11,0.004138373680450398,0.004243593213778704,0.7090761547295356,0.9355753462646923,0.6769244186046511
12,0.0041204748176640335,0.004299011208455671,0.735413271553416,0.9489464976702555,0.6918430232558139
13,0.004197794845271291,0.004143389231158477,0.7252836107386569,0.9457050034930292,0.6914244186046512
14,0.004012200856731847,0.004312610310135466,0.7163695119309271,0.9392220222148169,0.6745523255813953
15,0.0040017283695627645,0.0041642658026757266,0.7301458495169443,0.9566450381539823,0.6957209302325581
16,0.0037691291548650374,0.004125468094240536,0.7366288265325068,0.9513776142699598,0.6969127906976744
17,0.003914602020887112,0.004085296292253064,0.7483792344358791,0.9538087343474069,0.7128255813953489
18,0.0038933315822346644,0.004119403476855068,0.7370340133167357,0.9440842594957429,0.6996686046511628
19,0.003765509696677327,0.004163684939608128,0.7398703190916168,0.9517828025394746,0.7056744186046512
20,0.0037155914252078293,0.004143767308142751,0.7394651348673931,0.9469205628434495,0.711796511627907
21,0.0038082949121040527,0.004001493718606805,0.7487844220653925,0.9542139203467284,0.7131220930232558
22,0.0039900060851277425,0.004102476329232256,0.7662074330173783,0.9631280244072987,0.7287441860465116
23,0.0041889923300142545,0.0040659482891887725,0.756888146580135,0.9505672427301856,0.7198779069767441
24,0.003891080735495897,0.004042137329551307,0.748784419372557,0.9489464981532754,0.7171569767441861
25,0.003994715519983209,0.004062241653563699,0.7593192662228642,0.9611020895804926,0.719436046511628
26,0.0038491343453789903,0.00406930007680197,0.7556725886063212,0.9606969043298518,0.7235290697674419
27,0.00384394306633057,0.004046422332957989,0.7423014367418892,0.9546191045347256,0.7056162790697675
28,0.0035717494837525818,0.00397615383303903,0.7439221838788044,0.9538087349511816,0.7045
29,0.003594823564976604,0.004016737307826377,0.7560777733980933,0.9615072773911385,0.7142209302325581
30,0.00360998092454416,0.004021671320772683,0.7487844223672799,0.9574554119881007,0.7119941860465117
31,0.003700360564063444,0.004139710641042752,0.7556725884251888,0.9639383976134914,0.727767441860465
32,0.003618718870454515,0.00401432858544844,0.7649918727492204,0.9615072781398192,0.7291046511627907
