Epoch,EMD,CD,Top1acc,Top5acc,Clsave
1,0.003906734417089158,0.003693501293339362,0.8521069446684283,0.9760939922286394,0.8146802325581396
2,0.003941502984180444,0.003584861938813419,0.859400299901514,0.9777147380372501,0.8226220930232557
3,0.0038996213092233494,0.003504086930229507,0.8525121312715246,0.9760939916248647,0.8108023255813954
4,0.0038852360301810983,0.0034893139152590074,0.8630469787256064,0.9801458564482787,0.8234593023255814
5,0.003921498932565252,0.003429782993131966,0.8577795565080024,0.9809562296544714,0.8182500000000001
6,0.003895997514270923,0.003296464735717334,0.8630469787256064,0.9797406704489571,0.8232383720930232
7,0.003838537639533781,0.0034181273664639455,0.8658832855510558,0.9797406698451823,0.8275813953488372
8,0.0038916102017868648,0.0032938404309779705,0.8589951126946429,0.9789302966389896,0.8216627906976743
9,0.0038448759952014445,0.0033034970678125666,0.865478097136635,0.9801458570520534,0.8257383720930231
10,0.003845959191558638,0.0032365931964695753,0.8699351491669202,0.9809562296544714,0.8277383720930231
11,0.0037854202797241283,0.0032508096685915284,0.8707455199580139,0.9817666028606641,0.8293546511627907
12,0.0038420904540654383,0.00323366025001789,0.8691247753569528,0.9809562302582461,0.8279476744186047
13,0.003830952685081748,0.0031929428223520517,0.8743921963670073,0.9821717894637604,0.8346860465116279
14,0.00396934126014586,0.003203920923606163,0.8735818227019457,0.9821717894637604,0.8341046511627906
15,0.0039090617028337835,0.003169430730243524,0.8743921971156879,0.9817666028606641,0.8348546511627907
16,0.003885824280330027,0.0031763692833295075,0.8679092137363393,0.9821717894637604,0.827482558139535
17,0.0038451367960960574,0.0031562169374089047,0.8711507054984666,0.9829821626699531,0.8287732558139534
18,0.003786152917797668,0.0031174968344846155,0.8739870109714604,0.9825769760668568,0.829436046511628
19,0.0037738284792261895,0.0032305749359004426,0.8687195875704579,0.9833873498768242,0.8289825581395348
20,0.0037829417810596603,0.0030931645670360087,0.8719610785597534,0.9825769760668568,0.829232558139535
21,0.003865337951786139,0.00310076390759963,0.8715558907491074,0.9825769760668568,0.8311860465116279
22,0.003773185805502263,0.0031382115040388373,0.8695299607524996,0.9829821626699531,0.8314360465116278
23,0.003833363578193868,0.003084435946110523,0.8743921963670073,0.9837925358761458,0.8349302325581395
24,0.0040318982021864316,0.0030477271589328244,0.8727714505583966,0.9817666028606641,0.8338081395348838
25,0.0038335593182104405,0.003068000990709271,0.8715558901453327,0.9825769760668568,0.8300988372093023
26,0.0038760873498489157,0.003013631481808996,0.8739870087012672,0.9829821626699531,0.8328895348837208
27,0.0037803600843280853,0.003051984156811177,0.8756077551136527,0.9825769760668568,0.831889534883721
28,0.003742679153954742,0.003013909300507018,0.8760129433831674,0.9817666028606641,0.8319767441860465
29,0.003974862902359378,0.0030069854792508515,0.8719610791635282,0.9829821626699531,0.8304767441860464
30,0.003727127148798018,0.0030686396616275862,0.8752025695973509,0.9817666028606641,0.8360988372093023
31,0.003698629341229345,0.00306636507792229,0.8695299601487247,0.9829821626699531,0.8319709302325581
32,0.0037036693203404093,0.002992563864517242,0.8764181289236201,0.9841977224792422,0.838767441860465
33,0.004125904183684274,0.0029982718700223196,0.8691247723380789,0.9833873492730495,0.8303488372093023
34,0.003872512284703929,0.003028021702034907,0.8727714517659461,0.9833873492730495,0.8316395348837208
35,0.0038012304376208723,0.002960830049664535,0.8768233143191669,0.9825769760668568,0.8328488372093024
36,0.0038864230478389394,0.0029914264586010965,0.8719610779559787,0.9825769766706315,0.8291046511627908
37,0.0037310144304288457,0.0029894064199367555,0.8772284997147138,0.9837925358761458,0.8353488372093023
38,0.003691705437659314,0.0029832656833935866,0.8735818243683641,0.9821717894637604,0.8310174418604651
39,0.0037091590365338507,0.0029130272256831327,0.8727714511621714,0.9850080956854349,0.8307674418604651
40,0.0036916025688476634,0.003007109227562041,0.8723662647039809,0.9866288420978203,0.8295523255813955
41,0.0037961159221301176,0.002949560611424121,0.8764181305900385,0.9833873492730495,0.8360930232558139
42,0.003794726367682369,0.0029051107062835887,0.8776336861729043,0.9841977224792422,0.8357616279069766
43,0.003658607799672719,0.0029502649876204405,0.876012941716749,0.9833873492730495,0.8338023255813953
44,0.003743989917571948,0.002995166734726441,0.8768233141742611,0.9846029090823385,0.8327558139534883
45,0.0037148443492825583,0.0029746172008941873,0.878038874128456,0.9850080956854349,0.8362616279069768
46,0.0038724220263762306,0.0030153265712086603,0.8768233141984121,0.9854132822885312,0.8325465116279069
47,0.0037287729886369874,0.0029940567252160323,0.8768233155267166,0.9837925358761458,0.8353023255813954
48,0.0037622092023604746,0.0029639792369885575,0.8735818227019457,0.9837925358761458,0.8330581395348837
49,0.0036989371621548527,0.002979527608576146,0.8768233143191669,0.9854132822885312,0.831593023255814
50,0.0038693680620818125,0.002990669443864714,0.8776336879842285,0.9854132822885312,0.8341279069767442
51,0.0037343697504827167,0.0029631856819520696,0.8784440587753222,0.9837925358761458,0.8334244186046511
52,0.0035983201073990626,0.0030527717382129696,0.8739870085563614,0.9829821626699531,0.830593023255814
53,0.003648682095279748,0.0029718994511046793,0.8792544301701906,0.9858184688916276,0.8338430232558138
54,0.003723808279674914,0.002887565353320855,0.878849246730874,0.9850080956854349,0.8376337209302325
55,0.0036657835060561247,0.002914878431557104,0.8784440587994732,0.9841977224792422,0.8356337209302327
56,0.003777490486626071,0.002937096869572997,0.8739870097639109,0.9841977224792422,0.8314767441860464
57,0.0036455944693186367,0.002965054013813385,0.8792544313777401,0.9862236554947239,0.8380930232558139
58,0.0037229408514732965,0.0029279799294667412,0.8743921963670073,0.9837925358761458,0.8336337209302325
59,0.0037912923085380986,0.002934611588246142,0.877633686776679,0.9846029090823385,0.8376337209302325
60,0.0036798541039002666,0.00290417866405062,0.8800648057914824,0.9837925358761458,0.8333837209302326
61,0.003668987293341997,0.0029612549256081834,0.8760129415959941,0.9833873492730495,0.8340058139534884
62,0.0036665860003782342,0.0029849329154298765,0.8760129403884446,0.9846029090823385,0.8328023255813953
63,0.003663569267820379,0.0029191266853512837,0.8792544350003887,0.9846029090823385,0.8369651162790699
64,0.003649825385461251,0.002875593537935103,0.8776336891917781,0.9841977224792422,0.836843023255814
65,0.00371274318207394,0.0028869927310469475,0.8788492477935176,0.9850080956854349,0.8345465116279069
66,0.0036831290762156547,0.002929596279776006,0.874392196994933,0.9837925358761458,0.8308430232558139
67,0.0036864750477664096,0.0028849023093253075,0.8788492484214433,0.9846029090823385,0.8356337209302325
68,0.0036702546352200736,0.00294350854102334,0.8800648069990319,0.9858184688916276,0.8375930232558139
69,0.0037647187145370426,0.002897730026619904,0.8788492453784186,0.9846029090823385,0.8357616279069766
70,0.003711865165957598,0.002895525106313554,0.8780388747322309,0.9850080956854349,0.8341744186046511
71,0.0035998761898489912,0.0029216179544237827,0.8800648053326136,0.9846029090823385,0.8341744186046511
72,0.0036998146679252386,0.002905734410189619,0.8752025709256553,0.9846029090823385,0.8323837209302326
73,0.003685905769787202,0.0028778503606603904,0.8735818267834631,0.9837925358761458,0.8301802325581396
74,0.0036951855666973073,0.0029083093689434756,0.8788492484214433,0.9846029090823385,0.8361279069767441
75,0.0036616952798207,0.002883136672240616,0.8768233160097363,0.9841977224792422,0.8352616279069768
76,0.0037475139928059746,0.0028734495228325777,0.876418129527395,0.9837925358761458,0.8337209302325581
77,0.0036209966996778743,0.0028991072669136103,0.8784440599828717,0.9858184688916276,0.8364709302325581
78,0.0036193362009156534,0.002898055321602809,0.8796596209997103,0.9858184688916276,0.838343023255814
79,0.0036678271946694813,0.002872111645028597,0.877228501984907,0.9837925358761458,0.8335988372093024
80,0.003565485974905467,0.002893362749330323,0.8808751802052246,0.9850080956854349,0.84121511627907
81,0.003615421330029465,0.0028537738447388015,0.8792544350003887,0.9846029090823385,0.8388023255813953
82,0.0036016568692043573,0.0028675417603943685,0.8808751802052246,0.9854132822885312,0.8361744186046511
83,0.003573963943059848,0.0028806506007006674,0.8772285008015084,0.9862236554947239,0.8334244186046511
84,0.003587672773823895,0.0028439343323686506,0.8820907388069641,0.9833873492730495,0.8387151162790698
85,0.003579107338957714,0.002836562008738066,0.8800648076028067,0.9837925358761458,0.8352558139534884
86,0.003631953138274827,0.0028589952247913436,0.8792544331890644,0.9841977224792422,0.8345523255813955
87,0.0036211068803124655,0.0028907397333908865,0.8800648052118586,0.9850080956854349,0.8383372093023256
88,0.0037060908813292934,0.0028422748190209722,0.8804699911870292,0.9850080956854349,0.8388023255813952
89,0.0036264065243868213,0.0028575996285059835,0.8845218585704482,0.9846029090823385,0.8384651162790698
90,0.0036457687559904475,0.0028565530594664088,0.8808751796256008,0.9858184688916276,0.8379244186046512
91,0.0035528427817755276,0.0028688600451469122,0.8784440600070227,0.9846029090823385,0.8324244186046512
92,0.0036057778540057967,0.0028519410160229063,0.8788492478176686,0.9841977224792422,0.8369244186046512
93,0.003614372740772487,0.0028542851690541615,0.8784440611904212,0.9850080956854349,0.832593023255814
94,0.0036183126139068844,0.00286062902093611,0.8808751784180513,0.9846029090823385,0.8379651162790698
95,0.0035543990335568333,0.0028665303205600893,0.8812803680400214,0.9841977224792422,0.8420465116279068
96,0.0035547218732347695,0.0028600368009071156,0.8816855522280188,0.9846029090823385,0.8395465116279069
97,0.0036634147952715255,0.0028513432080584642,0.8792544344207649,0.9850080956854349,0.8378837209302326
98,0.0035997483329000797,0.0028397290863924557,0.8824959254100605,0.9837925358761458,0.841046511627907
99,0.0036059988902486634,0.0028410331872903336,0.8808751796014498,0.9846029090823385,0.8380058139534883
100,0.0035723853983323684,0.00284927443253121,0.8820907394107389,0.9862236554947239,0.8419244186046511
101,0.003586895065382123,0.002859547313283941,0.8816855522280188,0.9854132822885312,0.8384651162790698
102,0.0035795861892778465,0.002848514680270896,0.8837114846155748,0.9846029090823385,0.8429244186046511
103,0.003588508339504702,0.0028468499646870176,0.8796596209997103,0.9850080956854349,0.8353837209302325
104,0.003591691089718781,0.002842971107292205,0.8820907388069641,0.9854132822885312,0.836046511627907
105,0.0035928126184664893,0.002858977061649314,0.8800648045839328,0.9850080956854349,0.8356337209302325
106,0.003563719168963908,0.0028483009252772487,0.8812803649969967,0.9854132822885312,0.8371744186046512
107,0.003608134669261147,0.002849366838074844,0.881685551600093,0.9850080956854349,0.8376337209302325
108,0.0035789564694042758,0.0028403584534923234,0.8808751789976751,0.9850080956854349,0.8371337209302325
109,0.0036078986213213264,0.0028433591513094877,0.8804699923945787,0.9841977224792422,0.8348837209302324
110,0.003592564512721517,0.002841319637184944,0.8800648063952571,0.9850080956854349,0.8356337209302325
111,0.0035878881939094176,0.002844291946126355,0.8800648057914824,0.9850080956854349,0.8346337209302327
112,0.003607776542805662,0.002841404879070593,0.8820907382031894,0.9850080956854349,0.8369651162790698
113,0.003601477662515309,0.0028415841327961346,0.8816855509963183,0.9846029090823385,0.8376337209302326
114,0.003584276633148994,0.0028410499675594497,0.8812803643932219,0.9850080956854349,0.8373430232558139
115,0.003589351080602618,0.002843402707102624,0.8804699923945787,0.9846029090823385,0.8378837209302326
116,0.0035779699824298873,0.0028432222515946686,0.8812803656007714,0.9846029090823385,0.8374244186046511
117,0.0035796639782310737,0.002842935376019791,0.8820907388069641,0.9846029090823385,0.8379651162790698
118,0.003581293889161463,0.0028425254976621483,0.8808751789976751,0.9850080956854349,0.8361337209302325
119,0.0035991266351005045,0.00284210385077379,0.8808751789976751,0.9850080956854349,0.8361337209302325
120,0.00358570249271438,0.0028421394221221255,0.8808751789976751,0.9850080956854349,0.8361337209302325
