Epoch,EMD,CD,Top1acc,Top5acc,Clsave
1,0.003887674684231781,0.003632789228412539,0.8533225038739426,0.9773095520379285,0.8115116279069767
2,0.003880513846084024,0.0035587753912415167,0.8594002992977393,0.978525110639668,0.8198720930232557
3,0.0038992755274956273,0.003550633014358505,0.8504861982560429,0.9756888044179934,0.8100523255813954
4,0.0038745844985988705,0.0034373761178229495,0.8646677215153433,0.9797406698451823,0.8229127906976746
5,0.0038820522945524766,0.0033938513640690633,0.8638573501446258,0.979335483242086,0.8214476744186046
6,0.003874650831814065,0.0032448999800089033,0.8679092125529408,0.9801458564482787,0.8282732558139536
7,0.003891114540623896,0.0032847263930233742,0.867504029548342,0.9813614162575677,0.8275755813953488
8,0.0038240873231317357,0.0032461324466787505,0.8699351467518212,0.980551043051375,0.828063953488372
9,0.0038464886907751514,0.003229982504207227,0.8707455163353652,0.9813614162575677,0.8282732558139534
10,0.0038246154535862835,0.003239118964458355,0.8711507059573355,0.9801458570520534,0.8293197674418604
11,0.003880264881923042,0.0031771990047259765,0.868719584527433,0.9821717894637604,0.8251453488372092
12,0.003927654873654999,0.0031888144998576,0.8699351467518212,0.9821717894637604,0.8286511627906975
13,0.0038491057918755094,0.0032252549885235953,0.8662884679277287,0.9821717900675352,0.8261918604651163
14,0.003846988056061996,0.0031605847415072147,0.873176637161493,0.9809562296544714,0.8302267441860465
15,0.003840322872021734,0.0031481911663455192,0.8715558913528823,0.9813614162575677,0.8301453488372094
16,0.004017390844628516,0.0031705008692700753,0.8666936533232755,0.9813614168613425,0.8248139534883719
17,0.0038010317931008158,0.003116879482857055,0.872366262143976,0.9817666034644388,0.8324011627906976
18,0.003887206358327107,0.0031324367302309987,0.8711507041460111,0.9817666034644388,0.8295232558139535
19,0.0037871175210433777,0.0031543148827334546,0.8711507059573355,0.9829821626699531,0.8303546511627907
20,0.0037727326277003747,0.003093146554410759,0.873987009160136,0.9813614162575677,0.8364709302325583
21,0.003955882430697481,0.003139702821940635,0.871555889565709,0.9829821626699531,0.828517441860465
22,0.003715373356967713,0.003087860369829066,0.8699351437329473,0.9829821632737279,0.8290581395348837
23,0.003964642690720431,0.003078982179909192,0.8772285007773574,0.9825769760668568,0.8368430232558138
24,0.004114932782778686,0.0031008626983472795,0.8719610755650306,0.9825769760668568,0.8273023255813954
25,0.0037952424215171674,0.003020570907421937,0.8756077531574225,0.9829821626699531,0.8307209302325582
26,0.0037656920971442954,0.0030393379204200974,0.8752025683656504,0.9825769760668568,0.833389534883721
27,0.0037135666617276993,0.0030216807781746893,0.873581821953265,0.9817666028606641,0.8310174418604651
28,0.00369164693837214,0.002954825521399728,0.8768233135704863,0.9837925358761458,0.8363837209302325
29,0.003719042076475241,0.003026123210373852,0.8699351461480463,0.9829821626699531,0.8266046511627907
30,0.0036717015295054272,0.002995422902526428,0.8768233135946373,0.9833873492730495,0.8363430232558139
31,0.003696328146627756,0.002989416615096758,0.8731766347705449,0.9829821626699531,0.8317674418604651
32,0.0037788207374626036,0.0029553007122806525,0.8731766341426191,0.9837925358761458,0.830889534883721
33,0.0036805532002501715,0.002969553270800547,0.8764181275953157,0.9837925358761458,0.8330581395348837
34,0.003931420050900091,0.002963646910049849,0.8743921933722844,0.9817666028606641,0.8313488372093023
